Algorithm,Operation,n,Latency mean (ms),Latency std (ms),Latency CV (%),Energy mean (mJ),Energy std (mJ),Power mean (mW)
Dilithium-2 (run 1),keygen,370,36.78,0.56,1.52,12.363,7.826,102.0
Dilithium-2 (run 1),sign,370,121.31,77.65,64.01,4.174,0.778,107.9
Dilithium-2 (run 1),verify,370,38.10,0.42,1.11,4.054,0.506,109.4
Dilithium-2 (run 2),keygen,370,36.81,0.59,1.59,3.463,0.310,95.3
Dilithium-2 (run 2),sign,370,121.29,77.64,64.01,11.563,7.432,95.8
Dilithium-2 (run 2),verify,370,38.07,0.38,1.00,3.558,0.312,95.6
Falcon-512,keygen,370,2922.85,1272.83,43.55,265.830,118.223,90.8
Falcon-512,sign,370,754.90,1.55,0.21,68.365,6.250,90.6
Falcon-512,verify,370,10.49,0.19,1.83,0.956,0.128,91.5
SPHINCS+ 128s,keygen,370,13851.09,3.88,0.03,1411.612,7.631,101.9
SPHINCS+ 128s,sign,370,2978.08,10.90,0.37,304.104,1.426,102.1
SPHINCS+ 128s,verify,370,103.51,3.76,3.64,10.521,0.389,102.1
P-256 (ECDSA),keygen,370,394.21,0.65,0.16,88.852,4.731,109.0
P-256 (ECDSA),sign,370,410.50,2.11,0.52,43.631,6.573,109.4
P-256 (ECDSA),verify,370,814.73,3.73,0.46,45.019,4.605,109.1
Kyber-512,decaps,370,14.47,0.22,1.54,1.143,0.141,104.4
Kyber-512,encaps,370,12.11,0.21,1.73,1.486,0.190,101.8
Kyber-512,keygen,370,10.88,0.21,1.94,1.253,0.191,102.4
